transaction_id,user_id,transaction_time,amount,payment_method,month
6001,1008,2023-08-21,8.7,PayPal,July
6002,1079,2024-08-25,44.12,Credit Card,July
6003,1095,2023-11-06,35.16,PayPal,July
6004,1094,2023-05-28,26.02,Credit Card,July
6005,1020,2023-09-01,20.72,PayPal,July
6006,1053,2023-06-08,17.88,Credit Card,July
6007,1012,2023-07-04,10.48,Credit Card,July
6008,1049,2024-10-01,20.77,PayPal,July
6009,1017,2023-09-25,22.58,Credit Card,July
6010,1064,2024-03-31,7.58,PayPal,July
6011,1042,2024-06-17,23.34,PayPal,July
6012,1094,2023-08-29,18.45,Credit Card,July
6013,1029,2024-04-17,0.92,PayPal,July
6014,1019,2023-08-19,11.4,Credit Card,July
6015,1011,2023-08-01,15.86,Credit Card,July
6016,1098,2024-03-14,38.88,Credit Card,July
6017,1050,2024-05-20,25.57,Credit Card,July
6018,1071,2024-10-25,6.65,Credit Card,July
6019,1058,2024-04-22,24.86,Credit Card,July
6020,1034,2024-03-27,4.53,Credit Card,July
6021,1020,2023-08-23,30.83,Credit Card,July
6022,1050,2024-01-16,15.29,PayPal,July
6023,1088,2023-10-07,19.06,PayPal,July
6024,1010,2024-06-06,33.26,Credit Card,July
6025,1032,2024-02-13,7.13,PayPal,July
6026,1052,2023-04-13,6.03,PayPal,July
6027,1015,2023-12-12,14.16,PayPal,July
6028,1084,2024-10-02,30.38,PayPal,July
6029,1003,2023-05-04,4.81,PayPal,July
6030,1037,2024-07-24,-8.32,PayPal,July
6031,1040,2024-09-13,15.49,Credit Card,July
6032,1072,2023-09-24,25.52,PayPal,July
6033,1040,2023-12-29,32.0,PayPal,July
6034,1056,2024-07-20,15.37,PayPal,July
6035,1023,2023-08-23,15.89,PayPal,July
6036,1011,2024-10-11,31.54,Credit Card,July
6037,1064,2023-05-25,1.3,Credit Card,July
6038,1008,2023-11-29,16.11,Credit Card,July
6039,1093,2024-03-04,21.9,Credit Card,July
6040,1094,2024-03-19,24.49,PayPal,July
6041,1056,2024-04-12,14.9,Credit Card,July
6042,1060,2023-06-09,20.34,Credit Card,July
6043,1010,2023-10-09,-4.88,Credit Card,July
6044,1039,2024-04-22,13.42,Credit Card,July
6045,1028,2024-05-28,24.54,PayPal,July
6046,1049,2023-07-10,10.18,Credit Card,July
6047,1036,2024-03-29,20.59,PayPal,July
6048,1013,2024-07-03,24.47,Credit Card,July
6049,1096,2024-07-28,16.57,PayPal,July
6050,1036,2024-10-02,21.7,PayPal,July
6051,1026,2023-07-05,10.37,Credit Card,July
6052,1086,2023-10-26,17.93,Credit Card,July
6053,1004,2023-06-17,26.1,Credit Card,July
6054,1095,2024-03-04,21.57,Credit Card,July
6055,1082,2023-03-11,14.13,PayPal,July
6056,1064,2024-07-11,22.24,PayPal,July
6057,1038,2023-09-27,27.15,Credit Card,July
6058,1088,2024-09-14,-0.5,Credit Card,July
6059,1087,2024-06-22,31.59,PayPal,July
6060,1022,2023-11-06,16.64,Credit Card,July
6061,1002,2023-11-15,24.25,PayPal,July
6062,1031,2024-02-21,31.97,Credit Card,July
6063,1011,2023-11-03,6.28,PayPal,July
6064,1092,2024-09-07,12.91,PayPal,July
6065,1046,2024-07-03,17.11,PayPal,July
6066,1096,2024-01-07,12.16,PayPal,July
6067,1062,2024-03-31,37.35,PayPal,July
6068,1069,2024-06-02,11.43,Credit Card,July
6069,1064,2023-08-03,14.44,PayPal,July
6070,1010,2024-01-19,22.04,Credit Card,July
6071,1040,2023-09-27,7.98,PayPal,July
6072,1024,2024-04-23,16.04,PayPal,July
6073,1099,2024-10-08,23.17,Credit Card,July
6074,1044,2023-08-10,16.67,Credit Card,July
6075,1060,2023-08-12,19.07,Credit Card,July
6076,1062,2023-03-13,14.71,Credit Card,July
6077,1087,2023-06-14,4.86,PayPal,July
6078,1017,2024-10-28,23.22,Credit Card,July
6079,1065,2024-04-22,37.55,PayPal,July
6080,1095,2023-10-26,20.18,Credit Card,July
6081,1095,2024-10-12,22.25,Credit Card,July
6082,1057,2023-07-08,26.93,PayPal,July
6083,1055,2023-10-24,7.31,PayPal,July
6084,1053,2024-08-22,37.03,Credit Card,July
6085,1056,2024-06-04,22.02,PayPal,July
6086,1098,2024-03-31,36.32,PayPal,July
6087,1009,2024-04-11,12.67,PayPal,July
6088,1022,2024-07-13,38.18,PayPal,July
6089,1013,2024-09-06,27.75,PayPal,July
6090,1089,2024-02-15,25.53,PayPal,July
6091,1048,2023-08-08,22.34,PayPal,July
6092,1018,2023-06-05,17.51,PayPal,July
6093,1076,2023-08-07,32.01,Credit Card,July
6094,1040,2023-12-29,21.4,PayPal,July
6095,1017,2023-04-20,0.33,Credit Card,July
6096,1015,2023-06-08,8.83,PayPal,July
6097,1015,2024-09-30,18.14,PayPal,July
6098,1079,2024-07-27,23.1,PayPal,July
6099,1063,2023-05-22,19.43,PayPal,July
6100,1039,2024-09-18,32.19,Credit Card,July
6101,1013,2023-08-23,0.49,Credit Card,August
6102,1081,2024-09-01,21.44,PayPal,August
6103,1032,2023-11-27,1.82,Credit Card,August
6104,1009,2023-06-11,27.6,PayPal,August
6105,1040,2023-09-27,19.06,PayPal,August
6106,1020,2023-06-26,24.2,Credit Card,August
6107,1090,2023-07-23,11.36,Credit Card,August
6108,1091,2024-10-20,32.79,PayPal,August
6109,1085,2023-10-20,30.42,PayPal,August
6110,1082,2024-04-10,25.84,Credit Card,August
6111,1077,2024-06-23,18.7,PayPal,August
6112,1080,2023-08-30,25.8,Credit Card,August
6113,1073,2024-05-01,12.93,PayPal,August
6114,1063,2023-09-11,28.56,PayPal,August
6115,1076,2023-08-18,36.49,Credit Card,August
6116,1044,2024-03-20,30.71,Credit Card,August
6117,1038,2024-05-24,12.7,Credit Card,August
6118,1083,2024-11-23,23.61,PayPal,August
6119,1060,2024-05-13,7.07,PayPal,August
6120,1071,2024-04-11,25.72,PayPal,August
6121,1099,2023-09-06,24.51,PayPal,August
6122,1048,2024-01-21,1.3,Credit Card,August
6123,1018,2023-10-27,8.38,PayPal,August
6124,1016,2024-06-23,17.17,PayPal,August
6125,1055,2024-02-29,16.99,PayPal,August
6126,1039,2023-04-10,7.91,Credit Card,August
6127,1068,2024-01-07,23.89,PayPal,August
6128,1059,2024-10-29,22.51,PayPal,August
6129,1089,2023-05-22,18.06,Credit Card,August
6130,1096,2024-08-22,12.44,PayPal,August
6131,1062,2024-09-12,30.49,PayPal,August
6132,1013,2023-10-22,36.55,Credit Card,August
6133,1081,2024-01-14,15.16,PayPal,August
6134,1006,2024-08-03,13.88,PayPal,August
6135,1083,2023-09-17,24.91,PayPal,August
6136,1077,2024-10-12,16.42,Credit Card,August
6137,1060,2023-05-27,18.61,PayPal,August
6138,1090,2023-12-03,27.4,PayPal,August
6139,1014,2024-03-10,0.91,Credit Card,August
6140,1095,2024-04-09,33.18,Credit Card,August
6141,1054,2024-05-18,20.73,PayPal,August
6142,1004,2023-06-10,15.89,PayPal,August
6143,1039,2023-10-18,19.11,PayPal,August
6144,1072,2024-05-29,19.62,PayPal,August
6145,1025,2024-06-17,2.69,Credit Card,August
6146,1077,2023-07-13,34.95,PayPal,August
6147,1032,2024-04-16,20.41,Credit Card,August
6148,1059,2024-07-30,24.43,Credit Card,August
6149,1063,2024-08-15,29.52,PayPal,August
6150,1038,2024-10-11,9.79,PayPal,August
6151,1092,2023-07-19,24.73,Credit Card,August
6152,1053,2023-10-28,17.32,Credit Card,August
6153,1094,2023-07-08,28.47,PayPal,August
6154,1067,2024-03-12,-1.27,Credit Card,August
6155,1028,2023-03-26,19.01,PayPal,August
6156,1003,2024-08-04,13.97,PayPal,August
6157,1098,2023-10-09,24.32,Credit Card,August
6158,1080,2024-09-14,24.7,Credit Card,August
6159,1022,2024-06-17,12.92,PayPal,August
6160,1096,2023-11-12,12.88,Credit Card,August
6161,1038,2023-11-12,18.89,PayPal,August
6162,1072,2024-03-08,11.03,PayPal,August
6163,1072,2023-11-21,28.42,PayPal,August
6164,1062,2024-09-21,16.31,Credit Card,August
6165,1057,2024-07-20,-9.07,PayPal,August
6166,1006,2024-01-31,16.25,PayPal,August
6167,1078,2024-04-09,9.61,PayPal,August
6168,1032,2024-06-03,3.69,PayPal,August
6169,1099,2023-08-01,7.63,PayPal,August
6170,1010,2024-02-01,21.09,PayPal,August
6171,1003,2023-10-06,33.29,PayPal,August
6172,1059,2024-05-15,23.13,PayPal,August
6173,1076,2024-10-20,13.93,PayPal,August
6174,1049,2023-09-06,24.56,PayPal,August
6175,1059,2023-09-03,15.41,PayPal,August
6176,1031,2023-04-06,13.05,Credit Card,August
6177,1093,2023-07-12,8.46,PayPal,August
6178,1069,2024-11-26,2.48,PayPal,August
6179,1062,2024-05-02,16.1,PayPal,August
6180,1052,2023-11-27,21.58,Credit Card,August
6181,1089,2024-10-11,19.03,PayPal,August
6182,1041,2023-07-19,15.84,Credit Card,August
6183,1031,2023-11-03,10.54,PayPal,August
6184,1085,2024-09-08,26.08,PayPal,August
6185,1084,2024-06-22,6.83,Credit Card,August
6186,1022,2024-04-04,27.76,PayPal,August
6187,1004,2024-05-11,9.98,Credit Card,August
6188,1013,2024-08-10,12.48,Credit Card,August
6189,1045,2024-09-07,5.33,PayPal,August
6190,1042,2024-03-04,14.99,PayPal,August
6191,1049,2023-09-11,29.75,PayPal,August
6192,1020,2023-06-03,25.16,PayPal,August
6193,1077,2023-09-09,29.78,Credit Card,August
6194,1081,2024-01-15,25.22,Credit Card,August
6195,1054,2023-04-14,8.96,PayPal,August
6196,1036,2023-06-12,16.69,Credit Card,August
6197,1097,2024-10-31,12.2,Credit Card,August
6198,1001,2024-08-21,33.31,PayPal,August
6199,1015,2023-06-07,8.03,Credit Card,August
6200,1077,2024-10-06,28.94,Credit Card,August
